open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646848800000.0,42320.15,42327.82,41847.13,42023.1,2693.56527,1646852399999.0,113286141.2827095,73518.0,1389.29351,58423335.732666,0.0,2022-03-09 19:59:59.999
1646852400000.0,42023.1,42266.1,41773.19,42204.65,2075.5174,1646855999999.0,87246759.6594629,55696.0,1047.13802,44015321.280085,0.0,2022-03-09 20:59:59.999
1646856000000.0,42204.65,42320.0,41700.0,41841.64,1874.92116,1646859599999.0,78790796.7126449,51789.0,906.66282,38113734.276022,0.0,2022-03-09 21:59:59.999
1646859600000.0,41841.64,41944.75,41683.06,41876.77,1342.766,1646863199999.0,56135622.7230081,44419.0,660.04284,27597634.4074527,0.0,2022-03-09 22:59:59.999
1646863200000.0,41876.77,42063.93,41738.86,41892.07,1012.04034,1646866799999.0,42421828.1592211,34435.0,473.24174,19840739.7587782,0.0,2022-03-09 23:59:59.999
1646866800000.0,41892.08,42141.24,41815.0,41941.71,1088.00227,1646870399999.0,45671331.2922824,32029.0,542.23704,22760183.033344,0.0,2022-03-10 00:59:59.999
1646870400000.0,41941.7,42039.63,41745.01,41810.97,1481.29881,1646873999999.0,62056103.7983346,37393.0,659.38505,27622838.4678596,0.0,2022-03-10 01:59:59.999
1646874000000.0,41810.97,41950.0,40815.76,40930.71,5404.45789,1646877599999.0,223231897.7314344,98170.0,2417.84122,99861506.3154034,0.0,2022-03-10 02:59:59.999
1646877600000.0,40930.7,41066.13,40632.65,40714.52,3363.83051,1646881199999.0,137395972.6692117,66587.0,1608.57209,65713060.7271037,0.0,2022-03-10 03:59:59.999
1646881200000.0,40714.52,40928.34,40545.08,40768.51,2979.37461,1646884799999.0,121579857.6283144,51915.0,1250.13484,51009603.8449948,0.0,2022-03-10 04:59:59.999
1646884800000.0,40768.5,40834.93,39350.0,39540.63,7868.50637,1646888399999.0,314250531.1580398,128322.0,3438.41334,137243650.6578272,0.0,2022-03-10 05:59:59.999
1646888400000.0,39540.63,39542.85,38848.48,39209.53,5051.01151,1646891999999.0,198266133.9193736,93184.0,2331.13968,91511966.2977716,0.0,2022-03-10 06:59:59.999
1646892000000.0,39212.19,39424.0,39047.85,39385.01,2401.38692,1646895599999.0,94222975.868935,58719.0,1163.72818,45665420.3140699,0.0,2022-03-10 07:59:59.999
1646895600000.0,39385.0,39399.39,39127.98,39238.9,1967.94052,1646899199999.0,77335970.5100695,45189.0,936.89465,36812212.4047352,0.0,2022-03-10 08:59:59.999
1646899200000.0,39238.9,39270.78,38782.14,39220.21,3277.95694,1646902799999.0,128044797.05225,62558.0,1634.67482,63859822.1250958,0.0,2022-03-10 09:59:59.999
1646902800000.0,39220.2,39317.32,39030.0,39151.03,2307.74711,1646906399999.0,90491384.9321622,47125.0,1221.56957,47900052.2027953,0.0,2022-03-10 10:59:59.999
1646906400000.0,39151.03,39245.92,38982.88,39051.74,1800.71321,1646909999999.0,70479519.673054,42373.0,798.84092,31270621.2373859,0.0,2022-03-10 11:59:59.999
1646910000000.0,39051.74,39140.84,38942.55,39076.38,1285.72974,1646913599999.0,50208369.2292926,39933.0,586.53641,22904974.8378362,0.0,2022-03-10 12:59:59.999
1646913600000.0,39076.39,39348.92,38957.2,39242.81,2194.78664,1646917199999.0,85971250.5519494,51924.0,1040.69635,40765130.7966523,0.0,2022-03-10 13:59:59.999
1646917200000.0,39242.8,40292.44,38539.73,38864.68,10104.87295,1646920799999.0,397211721.5829051,197745.0,4731.69431,186134899.0740648,0.0,2022-03-10 14:59:59.999
1646920800000.0,38864.68,39363.37,38792.57,39283.39,3835.02157,1646924399999.0,149755289.4360404,79730.0,1789.61811,69898413.1151501,0.0,2022-03-10 15:59:59.999
1646924400000.0,39283.39,39750.0,38966.83,39179.54,4396.26021,1646927999999.0,173016200.9188092,97936.0,2173.85273,85565598.403128,0.0,2022-03-10 16:59:59.999
1646928000000.0,39179.55,39264.09,38904.63,39141.28,2422.10733,1646931599999.0,94714432.6079923,55811.0,1079.38586,42206917.9715342,0.0,2022-03-10 17:59:59.999
1646931600000.0,39141.29,39294.99,39035.93,39164.28,1553.82127,1646935199999.0,60867713.4045483,43725.0,730.74272,28625336.8097167,0.0,2022-03-10 18:59:59.999
1646935200000.0,39164.27,39258.83,39010.85,39160.68,1684.82437,1646938799999.0,65926028.5235706,40849.0,847.09985,33146116.0625388,0.0,2022-03-10 19:59:59.999
1646938800000.0,39160.68,39567.05,39066.64,39430.56,1594.65636,1646942399999.0,62672403.4475307,41992.0,820.55842,32250504.2184731,0.0,2022-03-10 20:59:59.999
1646942400000.0,39431.8,39680.0,39276.95,39612.11,1609.00699,1646945999999.0,63504691.7662642,39653.0,880.8897,34763954.0138293,0.0,2022-03-10 21:59:59.999
1646946000000.0,39612.11,39614.0,39259.51,39316.99,1165.43457,1646949599999.0,45992816.7503311,29010.0,553.43357,21843603.3226879,0.0,2022-03-10 22:59:59.999
1646949600000.0,39316.99,39487.36,39050.0,39442.06,1135.89525,1646953199999.0,44604157.3462491,32750.0,559.31413,21966935.8798494,0.0,2022-03-10 23:59:59.999
1646953200000.0,39442.07,39595.68,39366.37,39422.0,1063.61512,1646956799999.0,41991860.6010439,29791.0,540.01626,21320409.2349001,0.0,2022-03-11 00:59:59.999
1646956800000.0,39422.01,39439.65,39131.0,39289.99,1421.48677,1646960399999.0,55870506.134489,33992.0,670.98597,26372174.581038,0.0,2022-03-11 01:59:59.999
1646960400000.0,39289.99,39311.94,38566.0,38679.24,2939.98629,1646963999999.0,114184253.6508302,65015.0,1231.14043,47828496.2298849,0.0,2022-03-11 02:59:59.999
1646964000000.0,38679.23,38740.13,38223.6,38272.53,3096.94701,1646967599999.0,118978270.8652976,64448.0,1490.97258,57273640.1115167,0.0,2022-03-11 03:59:59.999
1646967600000.0,38272.53,38858.42,38251.51,38714.97,2420.84683,1646971199999.0,93235875.6529255,44551.0,1339.02616,51575797.2942165,0.0,2022-03-11 04:59:59.999
1646971200000.0,38714.97,38726.69,38443.18,38484.13,1369.64756,1646974799999.0,52851718.7546713,32181.0,671.1083,25896252.1005544,0.0,2022-03-11 05:59:59.999
1646974800000.0,38484.13,38794.31,38337.03,38771.5,1931.74575,1646978399999.0,74582440.3022294,37714.0,1069.24422,41296954.9698655,0.0,2022-03-11 06:59:59.999
1646978400000.0,38771.5,39000.0,38676.69,38948.78,2603.23495,1646981999999.0,101094818.5501443,48427.0,1287.13511,49979667.1401891,0.0,2022-03-11 07:59:59.999
1646982000000.0,38948.77,39348.87,38913.26,39132.09,2283.57395,1646985599999.0,89359902.3151462,49853.0,1163.48693,45528021.3722006,0.0,2022-03-11 08:59:59.999
1646985600000.0,39132.1,39189.87,38856.83,39020.52,1734.66041,1646989199999.0,67700782.9871798,42046.0,803.82101,31371348.3105569,0.0,2022-03-11 09:59:59.999
1646989200000.0,39020.53,39187.99,38905.0,39020.47,1123.25008,1646992799999.0,43874357.5081713,32275.0,579.11797,22620328.8651886,0.0,2022-03-11 10:59:59.999
1646992800000.0,39020.47,39145.07,38965.16,39017.19,1049.09118,1646996399999.0,40974833.4063156,28817.0,519.07786,20274156.3235948,0.0,2022-03-11 11:59:59.999
